"FACILITY","ADDRESS","LAST INSPECTED","VIOLATIONS","TOTAL # CRITICAL VIOLATIONS","TOTAL #CRIT.  NOT CORRECTED ","TOTAL # NONCRITICAL VIOLATIONS","DESCRIPTION"," LOCAL HEALTH DEPARTMENT","COUNTY","FACILITY ADDRESS","CITY","ZIP CODE","NYSDOH GAZETTEER (1980)","MUNICIPALITY","OPERATION NAME","PERMIT EXPIRATION DATE","PERMITTED  (D/B/A)","PERMITTED  CORP. NAME","PERM. OPERATOR LAST NAME","PERM. OPERATOR FIRST NAME","NYS HEALTH OPERATION ID","INSPECTION TYPE","INSPECTION COMMENTS","FOOD SERVICE FACILITY STATE","Location1"
"BASTARD RESTOBAR","72 SOUTH STREET,  GLENS FALLS","09/18/2025","Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 14B-   Effective measures not used to control entrance (rodent-, insect-proof contruction). Harborage areas available for rodents, insects and other vermin;","0","0","2","Food Service Establishment - Food Service Establishment","Glens Falls District Office","WARREN","72 SOUTH STREET","GLENS FALLS","12801","560100","GLENS FALLS","BASTARD RESTOBAR","09/30/2026",,"ALMYLO, LLC","HART-HUME","SHANNON","1160990","Inspection","All violations are subject to enforcement action and must be corrected in a timely manner.","NY","(43.308712, -73.647502)"
"Mr. Pho","216 Walton STREET,  Syracuse","11/05/2025","Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item  8B-   In use food dispensing utensils improperly stored; Item  8C-   Improper use and storage of clean, sanitized equipment and utensils; Item  8D-   Single service items reused, improperly stored, dispensed, not used when required; Item 14C-   Pesticide application not supervised by a certified applicator;","0","0","5","Food Service Establishment - Restaurant","Onondaga County","ONONDAGA","216 Walton STREET","Syracuse","13202","330100","SYRACUSE","Mr. Pho","01/31/2027",,"Pho Restaurant Huang Inc","Huang","Tanfeng","1160081","Inspection","At the time of inspection: |•	Current 2025 Food Service Permit is posted.  |•	Metal stem/probe thermometer noted at facility.  |•	All coolers operating properly to keep potentially hazardous foods at or below 45 degrees F.  |•	All hot holding units operating properly to keep potentially hazardous foods at or above 140 degrees F.  |High temperature dishwasher rinse temperature noted at 180F. Bleach on site for sanitizing. Gloves and hair restraints seen in use. Required signage posted. |Reminders:   DO NOT OPERATE and immediately notify this office at 315-435-6607 for the following:  Loss of power, Loss of running water or hot water, sewage backup, flooding, fire, or fire suppression discharge.|All complaints of possible food illness must be reported to this office within 24 hours- obtain contact information from complainant.|Please note this permit expires on January 31st 2026.  Permit renewal paperwork will be mailed at the end of December.","NY","(43.04822, -76.15641)"
"ML KING MAGNET ELEMENTARY","918 STANLEY STREET,  SCHENECTADY","10/01/2025","No violations found.","0","0","0","Institutional Food Service - School K-12 Food Service","Schenectady County","SCHENECTADY","918 STANLEY STREET","SCHENECTADY","12307","460100","SCHENECTADY","MARTIN LUTHER KING JR. ELEMENTARY FOOD SERVICE","12/31/2025",,"ARAMARK EDUCATIONAL SERVICES, LLC","TAYLOR","ALICIA","1127968","Inspection",,"NY","(42.802328, -73.93457)"
"MARIO'S PIZZERIA","326 JERICHO TURNPIKE,  SYOSSET","09/18/2024","Item  2C-  Critical Violation [RED] Cooked or prepared foods are subject to cross-contamination from raw foods.; Item  8D-   Single service items reused, improperly stored, dispensed, not used when required; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 14C-   Pesticide application not supervised by a certified applicator;","1","0","3","Food Service Establishment - Restaurant","Nassau  County","NASSAU","326 JERICHO TURNPIKE","SYOSSET","117914507","295216","OYSTER BAY","MARIO'S PIZZERIA","10/31/2026",,"SYOSSET PIZZA  INC",,,"556568","Inspection","Score 1/3 “A”|Permit expires October 31 2024 |Food Managers: C.G. 1643043415 expires Jan 31 2026, P.S. 49089 expires Jan 31 2026, M.J. 49069 expires Jan 31 2026|Seat count: 54 seats","NY","(40.810225, -73.504515)"
"VETERANS OF FOREIGN WARS POST 5942","1221 OLD COUNTRY  ROAD,  PLAINVIEW","03/20/2023","No violations found.","0","0","0","Institutional Food Service - Religious, Charitable, Fraternal Organization","Nassau  County","NASSAU","1221 OLD COUNTRY  ROAD","PLAINVIEW","11803","295214","OYSTER BAY","VETERANS OF FOREIGN WARS POST #5942","02/28/2027","VETERANS OF FOREIGN WARS POST 5942","VFW CORPORATION 5942",,,"578658","Inspection","residential kitchen |no rentals |no cooking on site|food brought in from a licensed caterer","NY","(40.77618, -73.461974)"
"COUNTRY INN & SUITES (BRIGHTON)","2835 MONROE AVENUE,  ROCHESTER","12/30/2025","Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item  8D-   Single service items reused, improperly stored, dispensed, not used when required;","0","0","2","Food Service Establishment - Restaurant","Monroe County","MONROE","2835 MONROE AVENUE","ROCHESTER","14618","275000","BRIGHTON","COUNTRY INN & SUITES (BRIGHTON)","12/31/2019",,"2835 Monroe Hotel, LLC","Daniele","Danny","951471","Inspection",,"NY","(43.11141, -77.54903)"
"COMFORT INN","1000 FRONT STREET,  BINGHAMTON","02/10/2025","No violations found.","0","0","0","Food Service Establishment - Food Service Establishment","Broome County","BROOME","1000 FRONT STREET","BINGHAMTON","13905","035200","CHENANGO","COMFORT INN - FOOD SERVICE","01/31/2026",,,,,"722858","Inspection",,"NY","(42.14158, -75.90379)"
"ALL STAR PIZZA (PENFIELD)","1628 PENFIELD ROAD,  ROCHESTER","12/01/2025","Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 11D-   Non food contact surfaces of equipment not clean; Item 14B-   Effective measures not used to control entrance (rodent-, insect-proof contruction). Harborage areas available for rodents, insects and other vermin;","0","0","4","Food Service Establishment - Restaurant","Monroe County","MONROE","1628 PENFIELD ROAD","ROCHESTER","14625","276100","PENFIELD","ALL STAR PIZZA (PENFIELD)","12/31/2023",,,,,"1119106","Inspection",,"NY","(43.13461, -77.49349)"
"Mi Casa Grande","1706 Erie Boulevard East,  Syracuse","11/19/2025","Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 11D-   Non food contact surfaces of equipment not clean;","0","0","3","Food Service Establishment - Restaurant","Onondaga County","ONONDAGA","1706 Erie Boulevard East","Syracuse","13210","330100","SYRACUSE","Mi Casa Grande","01/31/2026",,"Yagira LLC","Mendoza","Julia","1051359","Inspection","At the time of inspection:  |•	Current 2025 Food Service Permit is posted.  |•	All coolers operating properly to keep potentially hazardous foods at or below 45 degrees F.  |•	All hot holding units operating properly to keep potentially hazardous foods at or above 140 degrees F.  |•	Metal stem/probe thermometer noted at facility.  |Reminders:   |•	DO NOT OPERATE and immediately notify this office at 315-435-6607 for the following:  Loss of power, Loss of running water or hot water, sewage backup, flooding, fire, or fire suppression discharge.|•	All complaints of possible food illness must be reported to this office within 24 hours- obtain contact information from complainant.|Please note your  permit expires on January 31st 2026.  Permit renewal paperwork will be mailed at the end of December.","NY","(43.049105, -76.120882)"
"J.E. ZALOGA AMERICAN LGN POST #1520","4 EVERETT ROAD EXTENSION,  ALBANY","04/10/2025","Item  8D-   Single service items reused, improperly stored, dispensed, not used when required;","0","0","1","Food Service Establishment - Restaurant","Albany County","ALBANY","4 EVERETT ROAD EXTENSION","ALBANY","12205","015300","COLONIE","JOSEPH E. ZALOGA AMERICAN LEGION POST #1520","03/31/2026",,"J.E. ZALOGA POST #1520, INC.","MARTEL","HARVEY","251762","Inspection","Excellent compliance posted on 4/10/2025.|All cooling units have thermometers present.|Hand washing adequate.","NY","(42.685175, -73.782883)"
"Island Garden Jerk Hut Restaurant","440 South AVENUE,  Syracuse","10/21/2025","Item 14C-   Pesticide application not supervised by a certified applicator;","0","0","1","Food Service Establishment - Restaurant","Onondaga County","ONONDAGA","440 South AVENUE","Syracuse","13204","330100","SYRACUSE","Island Garden Jerk Hut Restaurant","01/31/2027",,,"Hanslip","Irvin","293708","Inspection","At the time of inspection: |•	Current 2025 Food Service Permit is posted.  |•	Metal stem/probe thermometer noted at facility.  |•	All coolers operating properly to keep potentially hazardous foods at or below 45 degrees F.  |•	All hot holding units operating properly to keep potentially hazardous foods at or above 140 degrees F.  |Hair restraints and utensils seen in use. Food items served hot. Required signage posted. |Reminders:   DO NOT OPERATE and immediately notify this office at 315-435-6607 for the following:  Loss of power, Loss of running water or hot water, sewage backup, flooding, fire, or fire suppression discharge.|All complaints of possible food illness must be reported to this office within 24 hours- obtain contact information from complainant.|Please note this permit expires on January 31st 2026.  Permit renewal paperwork will be mailed at the end of December.","NY","(43.034944, -76.158962)"
"BRIMONT BISTRO","24 WEST MAIN STREET,  WEBSTER","11/05/2025","Item  8F-   Improper thawing procedures used; Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained;","0","0","2","Food Service Establishment - Restaurant","Monroe County","MONROE","24 WEST MAIN STREET","WEBSTER","14580","272900","WEBSTER","BRIMONT BISTRO","12/31/2019",,,,,"824707","Inspection",,"NY","(43.2121, -77.43106)"
"TRUMP NATIONAL GOLF CLUB #1","339 PINE ROAD,  BRIARCLIFF MANOR","11/20/2025","Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained; Item 14A-   Insects, rodents present; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans;","0","0","5","Food Service Establishment - Food Service Establishment","Westchester County","WESTCHESTER","339 PINE ROAD","BRIARCLIFF MANOR","10510","593102","BRIARCLIFF","TRUMP NATIONAL GOLF CLUB #1","05/31/2026",,"TRUMP NATIONAL GOLF CLUB LLC","PIANTEDOSI","JOSEPH","525638","Inspection","VALID FSE PERMIT IS POSTED IN PUBLIC VIEW.|ALLERGEN POSTER IS VISIBLE.|FOOD ALLERGEN WARNING PRESENT ON ALL MENUS.||DISCUSSED:|STYROFOAM BAN|WIPING CLOTH STORAGE|SINGLE USE UTENSIL LAW|RECYCLING|USE OF GLOVES OR UTENSILS TO ELIMINATE BARE HAND CONTACT WITH READY TO EAT FOODS|ALL HOT HOLDING AND COLD STORAGE TEMPERATURES ARE ACCEPTABLE AT THIS TIME.||WCDOH WEBSITE |https://health.westchestergov.com/sanitation |NYS FOOD CODE 14- 1|https://regs.health.ny.gov/content/subpart-14-1-food-service-establishments |New Single use Law:|https://health.westchestergov.com/images/stories/PDF/singleusefoodwareposter.pdf |https://health.westchestergov.com/images/stories/PDF/singleusefoodwarefactsheet.pdf |New Allergy Law:|https://health.westchestergov.com/images/stories/PDF/foodallergylaw-chapter541.pdf |https://health.westchestergov.com/images/stories/PDF/foodallergylaw.pdf |Link to approved Allergy classes:|https://www.servsafe.com/ServSafe-Allergens |https://www.statefoodsafety.com/food-allergens |https://menutrinfo.com/training/","NY","(41.144291, -73.835792)"
"PENTHOUSE","1 EAST AVENUE,  ROCHESTER","11/18/2025","Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 14B-   Effective measures not used to control entrance (rodent-, insect-proof contruction). Harborage areas available for rodents, insects and other vermin;","0","0","3","Food Service Establishment - Restaurant","Monroe County","MONROE","1 EAST AVENUE","ROCHESTER","14604","270104","ROCHESTER","PENTHOUSE","12/31/2022",,,,,"1090251","Inspection",,"NY","(43.15748, -77.60445)"
"TED'S CAFE' 2","525 BROOKS ROAD,  ROME","06/08/2022","No violations found.","0","0","0","Food Service Establishment - Food Service Establishment","Oneida County","ONEIDA","525 BROOKS ROAD","ROME","13440","320111","ROME","TED'S CAFE' 2","12/31/2026",,,"WORLOCK","THEODORE","770354","Inspection","No violations","NY","(43.222802, -75.409144)"
"ST. MARY'S R/C CHURCH","13 SOUTH MAIN STREET,  HOLLEY","06/01/2024","No violations found.","0","0","0","Institutional Food Service - Religious, Charitable, Fraternal Organization","Orleans County","ORLEANS","13 SOUTH MAIN STREET","HOLLEY","14470","365600","MURRAY","ST. MARY'S SOCIAL CENTER","06/30/2026",,"ST.MARY'S ROMAN CATHOLIC CHURCH",,,"295213","Inspection","certified food handler present. Chicken cooked above 175 degrees and held above 145 degrees| Kitchen inspected no violations","NY","(43.225574, -78.026633)"
"STELLA PASTA BAR & BISTRO","235-237 UNION STREET,  SCHENECTADY","12/31/2025","Item  2C-  Critical Violation [RED] Cooked or prepared foods are subject to cross-contamination from raw foods.; Item  4A-  Critical Violation [RED] Toxic chemicals are improperly labeled, stored or used so that contamination of food can occur.; Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item  8D-   Single service items reused, improperly stored, dispensed, not used when required; Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures; Item 10A-   Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces); Item 12D-   Toilet facilities inadequate, inconvenient, dirty, in disrepair, toilet paper missing, not self-closing doors, missing hand wash signs; Item 13A-   Adequate, leakproof, non-absorbent, vermin-proof, covered containers not provided where needed; Item 14C-   Pesticide application not supervised by a certified applicator; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; Item 15C-   Premises littered, unnecessary equipment and article present, living quarters no completely separated for food service operations, live animals, birds and pets not excluded;","2","0","10","Food Service Establishment - Restaurant","Schenectady County","SCHENECTADY","235-237 UNION STREET","SCHENECTADY","12305","460100","SCHENECTADY","STELLA PASTA BAR & BISTRO","12/31/2026",,"STELLA PASTA BAR & BISTRO, LLC","REILLY","JOHN","1099609","Inspection","Reinspection required - 30 days for repairs of ceiling in back room food storage area","NY","(42.816383, -73.943235)"
"ORANGE COUNTY CORRECTIONAL FACILITY","110 WELLS FARM ROAD,  GOSHEN","10/22/2025","No violations found.","0","0","0","Institutional Food Service - Institution Food Service","Orange County","ORANGE","110 WELLS FARM ROAD","GOSHEN","10924","355500","GOSHEN","Orange County Correctional Facility","12/31/2025",,"Aramark Correctional Services LLC","Alsunna","Khouloud","987071","Inspection",,"NY","(41.405755, -74.355211)"
"FIRE CRUST (HENRIETTA)","4843 WEST HENRIETTA ROAD,  HENRIETTA","01/23/2025","Item 11A-   Manual facilities inadequate, technique incorrect; mechanical facilities not operated in accordance with manufacturer's instructions; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces;","0","0","3","Food Service Establishment - Restaurant","Monroe County","MONROE","4843 WEST HENRIETTA ROAD","HENRIETTA","14467","275600","HENRIETTA","FIRE CRUST (HENRIETTA)","12/31/2019",,,,,"987475","Inspection",,"NY","(43.05692, -77.65376)"
"MC DONALD'S","8320 NIAGARA FALLS BOULEVARD,  NIAGARA FALLS","11/07/2025","No violations found.","0","0","0","Food Service Establishment - Frozen Desserts","Niagara County","NIAGARA","8320 NIAGARA FALLS BOULEVARD","NIAGARA FALLS","14304","310200","NIAGARA FALLS","Mc Donald's","09/30/2026",,"Bramiru Inc.","Freiman","David","748473","Inspection","Mix/Product info: McFlurry|Source: MCDonalds|Mix Code:|Storage of Old Mix: None|Type of sanitizer used: Bleach|Concentration: 200ppm|Method of cleaning: wash rinse sanitize air dry|Cleaning schedule: Once per week(Typically Wednesday)|Brushes: Ok|Shakes/Flurry equipment|Equipment cleaned after each use: ok|Cup of sanitizer available: Cleaned after each use, no cup needed|Staff|Hair is restrained: ok|Gloves used/available: ok|No eating/drinking in food prep areas: ok|Plumbing|Adequate 3 bay sink: ok|Adequate handwash sink: ok|Adequate hot/cold water: ok|Backflow preventer provided where required: ok|Plumbing free from leaks: ok|Facility Construction/Maintenance|Food protected during storage:ok|Floors,walls, ceiling are smooth and easily cleanable: ok|Light fixtures shielded/adequate: ok|Non food contact surfaces clean/easily cleanable: ok|Food contact surfaces clean/sanitized: ok|Accurate thermometers present in coolers: ok|Adequate refuse storage and disposal: ok|Restrooms adequate: ok|Truck(if applicable) NA|Valid permit posted|Truck license plate number|Truck VIN number","NY","(43.090017, -78.968939)"
"CHINA GARDEN","1001 North STREET,  ENDICOTT","07/28/2025","Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 11D-   Non food contact surfaces of equipment not clean; Item 14B-   Effective measures not used to control entrance (rodent-, insect-proof contruction). Harborage areas available for rodents, insects and other vermin;","0","0","3","Food Service Establishment - Restaurant","Broome County","BROOME","1001 North STREET","ENDICOTT","13760","030200","UNION","CHINA GARDEN","06/30/2026",,"CHINA GARDEN FAMILY, INC.","MIAO","BEN","256728","Inspection","2nd inspection.","NY","(42.10416, -76.051884)"
"SPENCERPORT CSD-COSGROVE MIDDLE","2749 SPENCERPORT ROAD,  SPENCERPORT","09/26/2025","No violations found.","0","0","0","Institutional Food Service - School K-12 Food Service","Monroe County","MONROE","2749 SPENCERPORT ROAD","SPENCERPORT","14559","275900","OGDEN","SPENCERPORT CSD-COSGROVE MIDDLE SCHOOL","12/31/2019",,,,,"667428","Inspection","No violations observed at time of inspection.","NY","(43.18829, -77.787642)"
"DUNKIN' DONUTS","291 WILLOW GROVE ROAD,  STONY POINT","08/19/2025","Item 10A-   Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces);","0","0","1","Food Service Establishment - Food Service Establishment","Rockland County","ROCKLAND","291 WILLOW GROVE ROAD","STONY POINT","10980","435400","STONY POINT","DUNKIN DONUTS","04/30/2026",,"STONY POINT DONUTS, INC.","PATEL","KIRIT","651123","Inspection","Please be aware that any violation of the NYS Sanitary Code Subpart 14-1 may be subject to a civil penalty up to $2,000 per day.","NY","(41.220623, -74.016797)"
"PLAYER'S","30 HENRY STREET,  MIDDLETOWN","01/23/2026","No violations found.","0","0","0","Food Service Establishment - Food Service Establishment","Orange County","ORANGE","30 HENRY STREET","MIDDLETOWN","10940","350101","MIDDLETOWN","Player's","02/28/2026",,,"Welch, Jr.","Walter","730506","Inspection",,"NY","(41.446163, -74.42216)"
"CINNABON","8000 MALL WALK - #K01,  YONKERS","03/25/2025","Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; Item 16-   Miscellaneous, Economic Violation, Choking Poster, Training.;","0","0","3","Food Service Establishment - Food Service Establishment","Westchester County","WESTCHESTER","8000 MALL WALK - #K01","YONKERS","10704","590707","YONKERS","CINNABON","05/31/2026",,"2 SWEET INC.","WHADWA","GOLDY","803155","Inspection","All measured temperatures adequate at this time. Remaining violations to be checked for compliance at next routine inspection. Pest control services provided by reilly 3/19","NY","(40.92809, -73.85664)"
"SCARSDALE H.S. / COMPASS","2 BREWSTER ROAD,  SCARSDALE","10/24/2025","Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 10A-   Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces); Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 14A-   Insects, rodents present; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans;","0","0","5","Institutional Food Service - School K-12 Food Service","Westchester County","WESTCHESTER","2 BREWSTER ROAD","SCARSDALE","10583","594701","SCARSDALE","SCARSDALE H.S. / COMPASS","08/31/2026",,"COMPASS GROUP USA, INC.","ROSSITCH","RICHARD","817195","Inspection","Extermination services provided by Parkway - regular schedule for maintenance.|High-temp dishwasher operating as per specifications - reached 190F|All hot and cold measured temperatures adequate at this time. |All workers using proper food handling techniques.||Approved allergen courses: (only need to take one of these)|https://www.servsafe.com/ServSafe-Allergens|https://www.statefoodsafety.com/food-allergens|https://menutrinfo.com/training/||New food allergy posters and new requirements may be found on the county website:|https://health.westchestergov.com/sanitation#:~:text=The%20new%20law%20(Chapter%20541,information%20to%20patrons%20and%20staff.|English Sign: https://health.westchestergov.com/images/stories/PDF/foodallergylaw.pdf|Spanish Sign: https://health.westchestergov.com/images/stories/PDF/foodallergylawsp.pdf|NYS Required Food Allergen Sign:|https://www.health.ny.gov/environmental/indoors/food_safety/fse_signage.htm|New Upon request law: |https://www.westchestergov.com/home/all-press-releases/9920-westchester-county-s[1]upon-request-law-aimed-at-curbing-use-of-single-use-foodware-takes-effect-on-september-2","NY","(40.995266, -73.794464)"
"HERMANN'S ERIE HOTEL","88 DEPOT STREET,  PINE BUSH","11/18/2025","No violations found.","0","0","0","Food Service Establishment - Food Service Establishment","Orange County","ORANGE","88 DEPOT STREET","PINE BUSH","12566","355300","CRAWFORD","Hermann's Erie Hotel","02/28/2026",,"Hermann's Erie Hotel, Inc.","Rueter","Loretta","602070","Inspection",,"NY","(41.608984, -74.298659)"
"JOEY'S","561 EAST MAIN STREET,  ROCHESTER","12/12/2025","Item  9B-   Tobacco is used; eating, drinking in food preparation, dishwashing food storage areas; Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 11A-   Manual facilities inadequate, technique incorrect; mechanical facilities not operated in accordance with manufacturer's instructions; Item 11D-   Non food contact surfaces of equipment not clean; Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained; Item 16-   Miscellaneous, Economic Violation, Choking Poster, Training.;","0","0","6","Food Service Establishment - Restaurant","Monroe County","MONROE","561 EAST MAIN STREET","ROCHESTER","14604","270104","ROCHESTER","JOEY'S","12/31/2019",,,,,"958791","Inspection",,"NY","(43.15916, -77.59731)"
"MATSS OF SYOSSET","171 EILEEN WAY,  SYOSSET","06/04/2025","No violations found.","0","0","0","Institutional Food Service - Day Care Center Food Service","Nassau  County","NASSAU","171 EILEEN WAY","SYOSSET","11791","295216","OYSTER BAY","MATSS OF SYOSSET","12/31/2040",,"MATSS OF SYOSSET LTD","WHOLSEN","NANCY","732708","Inspection","Hours of operation are 8:00am-6:00pm. Age range of the children are 6 months to 10 years old. Daycare provides Food from vendors daily. Food vendors bring in food and daycare then temps each tray of food. Food served when food is brought in. Food out of temperature is returned to vendor. Snacks are provided for children without food. Vendor food is additional other children bring in food. Facility is nut free. Allergies discussed.  Hot water is satisfactory.|Inspection is satisfactory for relicensing.","NY","(40.803313, -73.517637)"
"HARPURSVILLE CSD CONCESSION (P)","54 MAIN STREET,  HARPURSVILLE","08/11/2025","No violations found.","0","0","0","Food Service Establishment - Food Service Establishment","Broome County","BROOME","54 MAIN STREET","HARPURSVILLE","13787","035300","COLESVILLE","HARPURSVILLE CSD CONCESSION","08/31/2026",,"HARPURSVILLE SCHOOL DISTRICT","TASBER","NORENE","257068","Inspection","Not operating at the time of inspection. Spoke to operator about switching to a letter of permission.","NY","(42.185581, -75.673668)"
"QUALITY INN","57 CANADA  STREET,  LAIKE GEORGE","09/18/2025","Item  2E-  Critical Violation [RED] Accurate thermometers not available or used to evaluate potentially hazardous food temperatures during cooking, cooling, reheating and holding.; Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item 12D-   Toilet facilities inadequate, inconvenient, dirty, in disrepair, toilet paper missing, not self-closing doors, missing hand wash signs; Item 16-   Miscellaneous, Economic Violation, Choking Poster, Training.;","1","0","3","Food Service Establishment - Restaurant","Glens Falls District Office","WARREN","57 CANADA  STREET","LAIKE GEORGE","12845","562000","LAKE GEORGE","Quality Inn - Food Service","03/31/2026",,,,,"334636","Inspection","All violations are subject to enforcement action and must be corrected in a timely manner.","NY","(43.419714, -73.714033)"
"TIM HORTONS","7084 CHESTNUT RIDGE  ROAD,  LOCKPORT","07/28/2025","Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans;","0","0","2","Food Service Establishment - Restaurant","Niagara County","NIAGARA","7084 CHESTNUT RIDGE  ROAD","LOCKPORT","14094","315300","LOCKPORT","TIM HORTONS","10/31/2026",,"KELTON ENTERPRISES, LLC","BEATON","DAVID","783800","Inspection","Restrooms: OK/part of gas station|Handwash Station: OK|Mop Sink: OK|Indirectly drained sink: OK|3-Bay Sink (wash>rinse>sanitize [200 PPM QUAT]>air dry): OK|Wipe cloth buckets 100 ppm QUAT|Food Testing Thermometer: OK/Calibrated/Used Properly|Cold Holds/Coolers: <45°F|Hot Holds: >140°F|Cooking Temps: OK|Storage Practices: OK|Hand Barriers: OK|Hair Restraints: OK|Choke Poster: OK|CPR Kit: OK|Permit Posted: OK|Food allergen poster: OK","NY","(43.181056, -78.645314)"
"CATSKILL YACHT CLUB","216 West Main STREET,  Catskill","10/02/2025","Item 11A-   Manual facilities inadequate, technique incorrect; mechanical facilities not operated in accordance with manufacturer's instructions; Item 12D-   Toilet facilities inadequate, inconvenient, dirty, in disrepair, toilet paper missing, not self-closing doors, missing hand wash signs; Item 16-   Miscellaneous, Economic Violation, Choking Poster, Training.;","0","0","3","Food Service Establishment - Restaurant","Oneonta District Office","GREENE","216 West Main STREET","Catskill","12414","195300","CATSKILL","CATSKILL YACHT CLUB","05/31/2027",,"CATSKILL YACHT CLUB INC.","Schwinn","Ronald","354786","Inspection","1. All violations must be corrected and are subject to enforcement action.|2. Please contact the Oneonta District Office at 607-432-3911 or odo@health.ny.gov with any questions or to provide correction updates.","NY","(42.215662, -73.868055)"
"ENDICOTT ELKS #1977","619 N Nanticoke AVENUE,  ENDICOTT","08/19/2025","Item 11D-   Non food contact surfaces of equipment not clean;","0","0","1","Food Service Establishment - Food Service Establishment","Broome County","BROOME","619 N Nanticoke AVENUE","ENDICOTT","13760","030200","UNION","ENDICOTT ELKS #1977","05/31/2026",,"ENDICOTT BPO ELKS #1977","GIBSON","JOYCE","256546","Inspection","Second inspection","NY","(42.1052, -76.066493)"
